DESTINATION_SUBZONE,LU_H,LU_W,LU_O
JESZ10,0.03333333333333333,0.9333333333333333,0.03333333333333333
JWSZ01,0.5,0.2962962962962963,0.2037037037037037
JWSZ02,0.6858974358974359,0.03846153846153846,0.2756410256410256
JWSZ03,0.7949640287769784,0.039568345323741004,0.16546762589928057
JWSZ04,0.6525096525096524,0.08880308880308879,0.25868725868725867
JWSZ05,0.05263157894736842,0.9473684210526316,0.0
JWSZ06,0.06557377049180327,0.6721311475409836,0.2622950819672131
JWSZ07,0.13333333333333333,0.6666666666666667,0.19999999999999998
JWSZ08,0.6469248291571754,0.18678815489749429,0.1662870159453303
JWSZ09,0.5682451253481894,0.06406685236768803,0.36768802228412256
KLSZ01,0.7068965517241379,0.11034482758620688,0.18275862068965515
KLSZ02,0.5632183908045977,0.25287356321839083,0.1839080459770115
KLSZ03,0.6178861788617886,0.13821138211382114,0.24390243902439027
KLSZ04,0.4666666666666667,0.33333333333333337,0.19999999999999998
KLSZ05,0.3228346456692913,0.21259842519685038,0.4645669291338583
KLSZ06,0.2435064935064935,0.25974025974025977,0.4967532467532467
KLSZ07,0.3116883116883117,0.3506493506493506,0.33766233766233766
KLSZ08,0.12595419847328243,0.7290076335877862,0.1450381679389313
KLSZ09,0.3426573426573426,0.4125874125874126,0.24475524475524474
LKSZ01,0.0,0.6153846153846153,0.38461538461538464
MDSZ02,0.13333333333333333,0.5666666666666667,0.30000000000000004
MDSZ03,0.5,0.35,0.15
MPSZ01,0.46875,0.23958333333333334,0.2916666666666667
MPSZ02,0.45736434108527135,0.15503875968992248,0.3875968992248062
MPSZ03,0.4688644688644688,0.15018315018315018,0.38095238095238093
MPSZ04,0.3333333333333333,0.0,0.6666666666666666
MSSZ01,0.12903225806451613,0.0967741935483871,0.7741935483870968
MUSZ01,0.08936170212765958,0.2723404255319149,0.6382978723404256
MUSZ02,0.0,0.8,0.2
MUSZ03,0.022556390977443608,0.4285714285714286,0.5488721804511278
NTSZ01,0.0,0.2,0.8
NTSZ02,0.6666666666666667,0.11111111111111112,0.22222222222222224
NTSZ03,0.024590163934426226,0.8278688524590163,0.14754098360655737
NTSZ05,0.29411764705882354,0.5294117647058825,0.17647058823529413
NVSZ01,0.5853658536585366,0.22764227642276422,0.18699186991869918
NVSZ02,0.13464991023339315,0.49730700179533205,0.36804308797127466
NVSZ03,0.08974358974358974,0.32051282051282054,0.5897435897435898
NVSZ04,0.38095238095238093,0.14285714285714285,0.4761904761904762
NVSZ05,0.125,0.625,0.25
ORSZ01,0.20930232558139536,0.5581395348837209,0.23255813953488372
ORSZ02,0.12624584717607976,0.30066445182724255,0.5730897009966778
ORSZ03,0.08379888268156424,0.36312849162011174,0.5530726256983239
OTSZ01,0.2524271844660194,0.39805825242718446,0.34951456310679613
OTSZ02,0.05,0.17500000000000002,0.775
OTSZ03,0.19610231425091354,0.4141291108404385,0.389768574908648
OTSZ04,0.15789473684210528,0.3486842105263158,0.493421052631579
PGSZ01,0.6769230769230768,0.030769230769230767,0.2923076923076923
PGSZ02,0.4375,0.04296875,0.51953125
PGSZ03,0.8185053380782917,0.03558718861209965,0.14590747330960854
PGSZ04,0.7434343434343434,0.06868686868686869,0.1878787878787879
PGSZ05,0.7992957746478873,0.035211267605633804,0.16549295774647887
PLSZ01,0.10526315789473685,0.6315789473684211,0.26315789473684215
PLSZ03,0.0,0.9090909090909092,0.09090909090909091
PLSZ04,0.16,0.6,0.24000000000000002
PLSZ05,0.08333333333333333,0.8333333333333333,0.08333333333333333
PNSZ01,0.07317073170731707,0.6219512195121951,0.3048780487804878
PNSZ02,0.16470588235294117,0.7176470588235294,0.11764705882352941
PNSZ03,0.09523809523809523,0.9047619047619048,0.0
PNSZ04,0.0,1.0,0.0
PNSZ05,0.08333333333333333,0.9166666666666667,0.0
PRSZ01,0.0,0.8,0.2
PRSZ02,0.7471910112359551,0.06179775280898877,0.19101123595505617
PRSZ03,0.6512141280353201,0.06622516556291391,0.282560706401766
PRSZ04,0.5416666666666666,0.125,0.3333333333333333
PRSZ05,0.7879999999999999,0.06,0.152
PRSZ06,0.14035087719298245,0.719298245614035,0.14035087719298245
PRSZ07,0.3684210526315789,0.3684210526315789,0.2631578947368421
PRSZ08,0.8375,0.049999999999999996,0.1125
QTSZ01,0.6120689655172414,0.11206896551724138,0.27586206896551724
