ORIGIN_SUBZONE,DESTINATION_SUBZONE,PT_COUNT,VH_COUNT,WK_COUNT,COUNT
1101060,1123063,1,0,0,1
1101060,1123064,2,1,0,3
1101060,1123075,1,0,0,1
1101060,1123077,2,0,0,2
1101060,1125065,1,0,0,1
1101061,1101053,4,3,12,19
1101061,1101054,4,4,8,16
1101061,1101055,7,3,2,12
1101061,1101056,3,3,0,6
1101061,1101057,20,5,1,26
1101061,1101058,3,1,0,4
1101061,1101060,10,5,17,32
1101061,1101061,16,23,288,327
1101061,1101063,7,3,9,19
1101061,1101064,3,2,4,9
1101061,1101067,1,0,1,2
1101061,1101068,1,1,1,3
1101061,1101069,35,7,3,45
1101061,1101070,8,1,0,9
1101061,1101071,5,1,0,6
1101061,1101072,3,2,5,10
1101061,1101073,25,4,7,36
1101061,1102052,7,5,5,17
1101061,1102054,8,3,1,12
1101061,1102055,10,10,29,49
1101061,1102057,2,1,0,3
1101061,1102058,8,3,0,11
1101061,1102059,3,6,5,14
1101061,1102060,6,2,6,14
1101061,1102067,3,3,1,7
1101061,1102068,3,0,0,3
1101061,1102070,2,0,0,2
1101061,1102071,4,1,0,5
1101061,1102072,1,1,0,2
1101061,1102073,4,0,2,6
1101061,1103051,7,1,0,8
1101061,1103052,3,2,0,5
1101061,1103053,3,0,1,4
1101061,1103057,4,0,0,4
1101061,1103058,5,0,0,5
1101061,1103059,1,0,0,1
1101061,1103063,4,2,0,6
1101061,1103065,1,1,0,2
1101061,1103066,6,0,0,6
1101061,1103069,3,0,0,3
1101061,1103071,2,3,1,6
1101061,1103072,3,0,0,3
1101061,1103073,2,2,0,4
1101061,1103074,5,0,0,5
1101061,1104052,1,1,0,2
1101061,1104054,1,1,0,2
1101061,1104055,3,0,0,3
1101061,1104056,1,2,0,3
1101061,1104057,6,1,0,7
1101061,1104058,2,2,0,4
1101061,1104059,2,1,0,3
1101061,1104062,2,0,0,2
1101061,1104065,3,2,0,5
1101061,1104066,3,2,0,5
1101061,1104068,6,0,0,6
1101061,1104070,2,5,0,7
1101061,1104071,1,1,1,3
1101061,1104072,4,4,0,8
1101061,1104073,2,0,0,2
1101061,1105053,2,0,0,2
1101061,1105054,4,2,0,6
1101061,1105055,1,1,0,2
1101061,1105056,2,0,0,2
1101061,1105058,4,2,0,6
1101061,1105059,2,2,0,4
1101061,1105060,2,0,0,2
1101061,1105061,2,1,1,4
1101061,1105062,3,2,0,5
1101061,1105063,10,1,0,11
1101061,1105065,2,2,0,4
1101061,1105066,3,0,0,3
1101061,1105067,1,1,0,2
1101061,1106071,5,0,0,5
1101061,1106072,1,0,0,1
1101061,1106073,4,6,0,10
1101061,1106080,8,2,0,10
1101061,1106081,14,7,0,21
1101061,1106082,10,1,0,11
1101061,1106083,4,1,0,5
1101061,1106084,4,1,0,5
1101061,1106086,2,4,0,6
1101061,1106087,6,1,0,7
1101061,1106088,5,2,0,7
1101061,1106089,3,1,0,4
1101061,1106090,1,2,0,3
1101061,1106091,1,1,1,3
1101061,1107052,1,0,1,2
1101061,1107055,1,2,0,3
1101061,1107059,5,2,0,7
1101061,1107060,2,0,0,2
1101061,1107061,3,1,0,4
1101061,1107062,3,1,0,4
1101061,1107064,4,0,0,4
1101061,1107065,3,5,0,8
1101061,1107068,1,0,0,1
1101061,1107069,8,0,1,9
1101061,1107070,3,1,0,4
1101061,1107071,8,1,0,9
