DESTINATION_SUBZONE,LU_H,LU_W,LU_O
1104073,0.5545851528384279,0.26419213973799127,0.1812227074235808
1105053,0.20617283950617285,0.5074074074074074,0.28641975308641976
1105054,0.47007299270072994,0.38978102189781016,0.14014598540145984
1105055,0.5183374083129585,0.2273838630806846,0.254278728606357
1105056,0.5751633986928104,0.24618736383442263,0.17864923747276687
1105057,0.4819277108433735,0.30120481927710846,0.21686746987951808
1105058,0.660245183887916,0.25744308231173385,0.08231173380035027
1105059,0.3569620253164557,0.3518987341772152,0.29113924050632906
1105060,0.43935926773455375,0.35926773455377575,0.2013729977116705
1105061,0.5167464114832536,0.2838915470494418,0.19936204146730463
1105062,0.4834710743801653,0.2851239669421488,0.23140495867768598
1105063,0.5925324675324676,0.2532467532467533,0.15422077922077923
1105064,0.35714285714285715,0.328042328042328,0.3148148148148148
1105065,0.6221322537112011,0.25101214574898784,0.12685560053981104
1105066,0.4555555555555556,0.24222222222222223,0.3022222222222222
1105067,0.565934065934066,0.21428571428571427,0.21978021978021978
1106071,0.3175542406311637,0.42603550295857984,0.2564102564102564
1106072,0.572972972972973,0.23963963963963966,0.18738738738738742
1106073,0.5818181818181818,0.23305785123966943,0.18512396694214878
1106080,0.4507042253521127,0.32957746478873234,0.21971830985915491
1106081,0.27184466019417475,0.5609492988133765,0.16720604099244876
1106082,0.3580121703853955,0.31135902636916835,0.3306288032454361
1106083,0.4195046439628483,0.25541795665634676,0.325077399380805
1106084,0.5499999999999999,0.2571428571428571,0.19285714285714284
1106086,0.5714285714285715,0.2207792207792208,0.2077922077922078
1106087,0.438695163104612,0.37907761529808776,0.18222722159730037
1106088,0.44533762057877807,0.3183279742765273,0.23633440514469453
1106089,0.48089591567852435,0.24110671936758893,0.2779973649538867
1106090,0.7004716981132075,0.12264150943396226,0.17688679245283018
1106091,0.4596949891067539,0.27233115468409586,0.2679738562091503
1107052,0.5459459459459459,0.23783783783783782,0.2162162162162162
1107054,0.6622950819672131,0.21311475409836064,0.12459016393442622
1107055,0.6192052980132451,0.17218543046357618,0.20860927152317882
1107057,0.48641975308641977,0.20493827160493827,0.30864197530864196
1107059,0.5649452269170578,0.2535211267605634,0.1815336463223787
1107060,0.34523809523809523,0.2976190476190476,0.3571428571428571
1107061,0.5859375,0.31510416666666663,0.09895833333333333
1107062,0.6370370370370371,0.17407407407407408,0.18888888888888888
1107064,0.526706231454006,0.2314540059347181,0.241839762611276
1107065,0.6763485477178423,0.17427385892116182,0.14937759336099585
1107068,0.7566137566137566,0.18518518518518517,0.0582010582010582
1107069,0.5399644760213144,0.23090586145648315,0.22912966252220252
1107070,0.5254237288135593,0.2683615819209039,0.20621468926553674
1107071,0.5862445414847162,0.2663755458515284,0.14737991266375547
1107072,0.4794520547945205,0.1643835616438356,0.3561643835616438
1107073,0.4043624161073826,0.2852348993288591,0.3104026845637584
1108058,0.4779116465863454,0.30522088353413657,0.2168674698795181
1108059,0.738095238095238,0.13095238095238096,0.13095238095238096
1108060,0.392570281124498,0.3744979919678715,0.23293172690763048
1108061,0.5026595744680851,0.32978723404255317,0.1675531914893617
1108062,0.7567567567567568,0.13513513513513511,0.1081081081081081
1108063,0.6,0.21038961038961038,0.18961038961038962
1108064,0.490566037735849,0.4150943396226415,0.09433962264150944
1108065,0.5176211453744494,0.2511013215859031,0.2312775330396476
1108066,0.5085130533484676,0.2973893303064699,0.19409761634506242
1108068,0.3880208333333333,0.21614583333333334,0.3958333333333333
1108071,0.611111111111111,0.24897119341563784,0.13991769547325103
1108072,0.456575682382134,0.33250620347394544,0.21091811414392062
1108076,0.5719298245614035,0.27017543859649124,0.15789473684210525
1108077,0.5899122807017544,0.2916666666666667,0.11842105263157895
1108078,0.7186544342507646,0.1834862385321101,0.09785932721712538
1108081,0.4126984126984127,0.36243386243386244,0.22486772486772488
1108082,0.37019969278033793,0.4116743471582181,0.21812596006144394
1108083,0.4898139946855624,0.29229406554472986,0.2178919397697077
1108084,0.5115894039735099,0.33112582781456956,0.15728476821192053
1108085,0.5163265306122449,0.2816326530612245,0.2020408163265306
1109060,0.4805194805194805,0.3320964749536178,0.18738404452690166
1109061,0.6556473829201102,0.19559228650137742,0.1487603305785124
1109062,0.6844919786096256,0.13903743315508021,0.17647058823529413
1109063,0.4270676691729324,0.35037593984962406,0.2225563909774436
1109064,0.6376811594202898,0.19082125603864733,0.17149758454106281
1109065,0.4292452830188679,0.32075471698113206,0.25
1109069,0.5304518664047152,0.2907662082514735,0.1787819253438114
1109070,0.4395604395604396,0.3642072213500785,0.19623233908948196
1109071,0.47626339969372133,0.29096477794793263,0.2327718223583461
1109072,0.6132478632478633,0.25641025641025644,0.13034188034188035
1109073,0.7300613496932514,0.1380368098159509,0.13190184049079756
1109074,0.5576036866359447,0.20967741935483872,0.2327188940092166
1109075,0.5216535433070866,0.3267716535433071,0.1515748031496063
1110051,0.42136498516320475,0.38575667655786344,0.19287833827893172
1110052,0.5702970297029704,0.24554455445544554,0.18415841584158416
1110053,0.5130718954248367,0.2908496732026144,0.19607843137254902
1110054,0.6524822695035462,0.22695035460992907,0.12056737588652483
1110055,0.4637268847795164,0.2972972972972973,0.23897581792318637
1110056,0.5791962174940899,0.23167848699763594,0.18912529550827423
1110057,0.7054631828978623,0.12589073634204276,0.16864608076009502
1110059,0.5380710659898478,0.28426395939086296,0.17766497461928935
1110060,0.5468409586056644,0.2941176470588235,0.15904139433551198
1110061,0.7379310344827587,0.15632183908045977,0.10574712643678161
1110062,0.5128518971848225,0.24724602203182375,0.23990208078335373
1110063,0.5155096011816839,0.24224519940915806,0.24224519940915806
1110064,0.4488636363636364,0.3494318181818182,0.2017045454545455
1110065,0.6414253897550112,0.22494432071269488,0.13363028953229397
1111051,0.45200698080279234,0.3525305410122164,0.1954624781849913
1111052,0.49156118143459915,0.35864978902953587,0.14978902953586498
1111053,0.7078189300411523,0.1213991769547325,0.17078189300411523
1111056,0.4043624161073826,0.41107382550335575,0.18456375838926176
1111058,0.3890845070422535,0.3873239436619718,0.22359154929577463
1111059,0.7952755905511811,0.14173228346456695,0.06299212598425197
1111060,0.5177664974619289,0.31218274111675126,0.1700507614213198
1111061,0.47145488029465926,0.32044198895027626,0.20810313075506445
1111064,0.5233853006681515,0.2873051224944321,0.18930957683741648
1111065,0.5172413793103449,0.2838196286472149,0.1989389920424403
1111066,0.24744027303754268,0.3412969283276451,0.4112627986348123
1111069,0.5059880239520959,0.2904191616766467,0.20359281437125748
1111072,0.5884146341463414,0.24085365853658536,0.17073170731707318
1111073,0.5518763796909492,0.293598233995585,0.1545253863134658
1111074,0.5886075949367089,0.2721518987341772,0.13924050632911394
1111076,0.6552631578947369,0.20526315789473684,0.13947368421052633
1111077,0.41842105263157897,0.32894736842105265,0.25263157894736843
1111078,0.5772811918063314,0.23649906890130354,0.186219739292365
1111079,0.4993804213135068,0.27757125154894674,0.22304832713754644
1112051,0.6047904191616766,0.26946107784431134,0.12574850299401197
1112052,0.5869565217391304,0.27717391304347827,0.1358695652173913
1112055,0.517948717948718,0.24957264957264957,0.23247863247863249
1112056,0.5583657587548638,0.29377431906614787,0.14785992217898833
1112057,0.5168918918918918,0.34966216216216217,0.13344594594594594
1112058,0.3712984054669704,0.31890660592255127,0.3097949886104784
1112059,0.33739130434782605,0.3634782608695652,0.2991304347826087
1112060,0.5357142857142857,0.287593984962406,0.17669172932330826
1112065,0.5954545454545455,0.23863636363636362,0.1659090909090909
1112066,0.5199999999999999,0.29333333333333333,0.18666666666666668
1112067,0.5540229885057472,0.2528735632183908,0.19310344827586207
1112068,0.6265060240963856,0.20240963855421687,0.1710843373493976
1112071,0.5609418282548476,0.20360110803324102,0.23545706371191136
1112072,0.5314814814814814,0.3074074074074074,0.16111111111111112
1112073,0.5458015267175573,0.2633587786259542,0.19083969465648856
