SUBZONE_C,X,Y
1121078,126.94220905195284,37.48682132758225
1121079,126.95116640109443,37.48951456896277
1121080,126.94588409968532,37.4780492720654
1121081,126.92104857025703,37.470495337512226
1121082,126.93013736262692,37.46066890548952
1121083,126.91542631548435,37.47593849638264
1122051,127.02013863578107,37.48695547750269
1122052,127.02791024653762,37.48881700309865
1122053,127.00959207867706,37.48543126857358
1122054,127.01996412464698,37.49898521834467
1122055,127.01303877872488,37.517638430393895
1122056,126.98647591379955,37.50628943535503
1122057,127.01663100431352,37.50550591434418
1122058,126.9956950895854,37.50637942121235
1122059,127.00359218211665,37.51240830467931
1122060,127.00328896867308,37.49958086318498
1122061,126.98776564564285,37.49494885765654
1122062,126.99630280180195,37.4849125072467
1122063,126.9884853413138,37.47301541905807
1122064,126.997899930021,37.47431988538497
1122065,126.99098704454552,37.48981878516142
1122066,127.02253083610823,37.46955773257226
1122067,127.0459050910008,37.45114771075302
1122068,127.0705480456133,37.45652174497839
1123051,127.02139510450492,37.52571779809543
1123052,127.0264959479717,37.51190951198681
1123053,127.03621825035552,37.515205803249216
1123058,127.06062806329274,37.51539702458558
1123059,127.04876028770434,37.51183935340836
1123060,127.05896536298866,37.493391211151945
1123063,127.05489896215006,37.50166055222824
1123064,127.0354909308825,37.50088901924014
1123065,127.04489101179499,37.49850208639975
1123066,127.04097580476127,37.48904527758748
1123067,127.0496536609523,37.488211109296756
1123068,127.06470951107146,37.4792838983668
1123071,127.05323653104563,37.47555236429389
1123072,127.08467450809717,37.482369705344986
1123073,127.08924601336314,37.493385755041416
1123074,127.07931657827795,37.49547356903017
1123075,127.10056930626776,37.486836841186914
1123076,127.10434750577447,37.47107467549705
1123077,127.03348349713048,37.530266711957744
1123078,127.0505033355378,37.524537922533256
1123079,127.06641543894294,37.50057535764341
1123080,127.0676349535309,37.48647682482663
1124051,127.11429966102439,37.53823929832851
1124052,127.11012716522202,37.52985046838757
1124053,127.14167634144638,37.494386016458265
1124054,127.14717466614742,37.492375171111966
1124055,127.15572456678353,37.494783471566755
1124056,127.15145763618743,37.500328422874425
1124057,127.12231506260682,37.50977182948971
1124058,127.11382629887147,37.51325462854046
1124059,127.12872134557936,37.51761745510194
1124060,127.13439851436218,37.503989614114175
1124061,127.1103206183915,37.5071676919998
1124062,127.11683120257989,37.50283563298562
1124063,127.10246227378649,37.50272361931826
1124064,127.0919059209541,37.501720205848244
1124065,127.12163949804486,37.497216857303755
1124066,127.10823503794292,37.495329071648875
1124067,127.13064304310012,37.49585963904156
1124068,127.12685932891996,37.488173039443716
1124069,127.11913610192569,37.48069392703767
1124071,127.08229387069409,37.50550698959705
1124075,127.10815228702802,37.521254591907734
1124077,127.09998160874038,37.5190652780306
1124078,127.07409762940901,37.507481079432424
